# ZAP Baseline rule tuning — PHR API
#
# Format: ruleId <TAB> action <TAB> comment
# Actions: IGNORE (never report) / WARN (report, fails the baseline) / FAIL (report as a failure)
#
# A rule that is not listed here defaults to WARN, and zap-baseline exits
# non-zero on any WARN. So this file has exactly one job: say which findings
# the PHR programme has formally accepted. Everything else stops the release.

10049	IGNORE	Non-Storable Content — a JSON API is not meant to be cached. Accepted.
90022	IGNORE	Application Error Disclosure — fires on any 500 status. The content leak is what matters, and rule 10023 catches that. Accepted.

# Armed. A stack trace in a response body blocks the release.
10023	FAIL	Information Disclosure: Debug Error Messages

# SOLVED. Rows 03 and 04 of ADR-0026 expired on 2026-08-14 and the rollout they
# were waiting for is done, so the exceptions are gone. Both rules are armed:
# they are not listed, and an unlisted rule defaults to WARN, which fails the
# baseline. Listing them as FAIL is equivalent and documents the intent.
10038	FAIL	Content Security Policy (CSP) Header Not Set
10020	FAIL	Missing Anti-clickjacking Header
